item_id,item_name,item_description,price
1,Item 1,Description 1,65.01
2,Item 2,Description 2,25.99
3,Item 3,Description 3,98.00
4,Item 4,Description 4,28.57
5,Item 5,Description 5,34.15
6,Item 6,Description 6,90.16
7,Item 7,Description 7,15.51
8,Item 8,Description 8,57.14
9,Item 9,Description 9,99.59
10,Item 10,Description 10,1.46
11,Item 11,Description 11,81.76
12,Item 12,Description 12,13.65
13,Item 13,Description 13,23.89
14,Item 14,Description 14,82.63
15,Item 15,Description 15,1.00
16,Item 16,Description 16,60.59
17,Item 17,Description 17,56.23
18,Item 18,Description 18,49.27
19,Item 19,Description 19,86.00
20,Item 20,Description 20,83.60
21,Item 21,Description 21,87.07
22,Item 22,Description 22,41.02
23,Item 23,Description 23,86.19
24,Item 24,Description 24,70.64
25,Item 25,Description 25,95.95
26,Item 26,Description 26,60.75
27,Item 27,Description 27,24.16
28,Item 28,Description 28,75.76
29,Item 29,Description 29,14.39
30,Item 30,Description 30,9.25
31,Item 31,Description 31,74.86
32,Item 32,Description 32,44.88
33,Item 33,Description 33,54.47
34,Item 34,Description 34,86.20
35,Item 35,Description 35,29.52
36,Item 36,Description 36,16.76
37,Item 37,Description 37,94.90
38,Item 38,Description 38,8.95
39,Item 39,Description 39,42.54
40,Item 40,Description 40,75.25
41,Item 41,Description 41,96.72
42,Item 42,Description 42,68.14
43,Item 43,Description 43,30.83
44,Item 44,Description 44,22.67
45,Item 45,Description 45,1.65
46,Item 46,Description 46,69.28
47,Item 47,Description 47,27.65
48,Item 48,Description 48,55.51
49,Item 49,Description 49,2.98
50,Item 50,Description 50,26.73
51,Item 51,Description 51,88.09
52,Item 52,Description 52,83.27
53,Item 53,Description 53,27.02
54,Item 54,Description 54,73.62
55,Item 55,Description 55,96.73
56,Item 56,Description 56,89.20
57,Item 57,Description 57,53.97
58,Item 58,Description 58,57.57
59,Item 59,Description 59,99.84
60,Item 60,Description 60,89.32
61,Item 61,Description 61,90.35
62,Item 62,Description 62,55.64
63,Item 63,Description 63,33.82
64,Item 64,Description 64,15.15
65,Item 65,Description 65,37.54
66,Item 66,Description 66,43.27
67,Item 67,Description 67,59.31
68,Item 68,Description 68,3.38
69,Item 69,Description 69,26.14
70,Item 70,Description 70,76.45
71,Item 71,Description 71,47.66
72,Item 72,Description 72,90.85
73,Item 73,Description 73,55.56
74,Item 74,Description 74,32.41
75,Item 75,Description 75,82.15
76,Item 76,Description 76,3.51
77,Item 77,Description 77,92.43
78,Item 78,Description 78,88.74
79,Item 79,Description 79,1.35
80,Item 80,Description 80,1.99
81,Item 81,Description 81,94.84
82,Item 82,Description 82,35.19
83,Item 83,Description 83,79.98
84,Item 84,Description 84,98.41
85,Item 85,Description 85,86.84
86,Item 86,Description 86,35.82
87,Item 87,Description 87,60.61
88,Item 88,Description 88,12.75
89,Item 89,Description 89,11.47
90,Item 90,Description 90,43.19
91,Item 91,Description 91,18.47
92,Item 92,Description 92,81.37
93,Item 93,Description 93,62.58
94,Item 94,Description 94,17.00
95,Item 95,Description 95,81.88
96,Item 96,Description 96,19.40
97,Item 97,Description 97,28.97
98,Item 98,Description 98,54.47
99,Item 99,Description 99,83.12
100,Item 100,Description 100,96.51
