transaction_id,item_id,quantity,transaction_date,total_price
1,78,3,2024-04-27T21:23:00.646Z,30.26
2,21,5,2024-04-27T21:23:00.646Z,75.11
3,93,10,2024-04-27T21:23:00.646Z,17.70
4,28,4,2024-04-27T21:23:00.646Z,54.28
5,63,7,2024-04-27T21:23:00.646Z,18.44
6,22,5,2024-04-27T21:23:00.646Z,64.44
7,75,7,2024-04-27T21:23:00.646Z,72.45
8,69,1,2024-04-27T21:23:00.646Z,53.40
9,9,2,2024-04-27T21:23:00.646Z,97.73
10,5,2,2024-04-27T21:23:00.646Z,12.19
11,23,7,2024-04-27T21:23:00.646Z,80.82
12,50,7,2024-04-27T21:23:00.651Z,15.41
13,93,3,2024-04-27T21:23:00.651Z,46.59
14,65,7,2024-04-27T21:23:00.651Z,24.82
15,20,3,2024-04-27T21:23:00.651Z,59.49
16,75,7,2024-04-27T21:23:00.651Z,18.87
17,92,9,2024-04-27T21:23:00.651Z,15.70
18,84,6,2024-04-27T21:23:00.651Z,91.04
19,58,3,2024-04-27T21:23:00.651Z,38.46
20,76,4,2024-04-27T21:23:00.651Z,69.96
21,16,6,2024-04-27T21:23:00.651Z,14.28
22,76,4,2024-04-27T21:23:00.651Z,41.44
23,94,4,2024-04-27T21:23:00.651Z,97.27
24,66,9,2024-04-27T21:23:00.651Z,74.29
25,25,6,2024-04-27T21:23:00.651Z,52.79
26,16,10,2024-04-27T21:23:00.651Z,43.72
27,3,5,2024-04-27T21:23:00.651Z,41.72
28,77,8,2024-04-27T21:23:00.651Z,41.08
29,15,2,2024-04-27T21:23:00.651Z,51.59
30,92,9,2024-04-27T21:23:00.651Z,11.16
31,4,6,2024-04-27T21:23:00.651Z,44.02
32,57,5,2024-04-27T21:23:00.651Z,33.87
33,100,9,2024-04-27T21:23:00.652Z,40.45
34,55,8,2024-04-27T21:23:00.652Z,21.69
35,24,10,2024-04-27T21:23:00.652Z,80.70
36,46,6,2024-04-27T21:23:00.652Z,98.66
37,46,9,2024-04-27T21:23:00.652Z,53.48
38,1,1,2024-04-27T21:23:00.652Z,60.17
39,96,5,2024-04-27T21:23:00.652Z,25.93
40,15,7,2024-04-27T21:23:00.652Z,48.06
41,61,8,2024-04-27T21:23:00.652Z,26.37
42,12,4,2024-04-27T21:23:00.652Z,37.11
43,78,5,2024-04-27T21:23:00.652Z,90.86
44,81,6,2024-04-27T21:23:00.652Z,51.16
45,51,8,2024-04-27T21:23:00.652Z,33.18
46,4,7,2024-04-27T21:23:00.652Z,33.03
47,16,2,2024-04-27T21:23:00.652Z,28.66
48,81,9,2024-04-27T21:23:00.652Z,52.23
49,45,3,2024-04-27T21:23:00.652Z,43.30
50,62,6,2024-04-27T21:23:00.652Z,47.78
51,32,5,2024-04-27T21:23:00.652Z,13.36
52,54,4,2024-04-27T21:23:00.652Z,10.08
53,31,7,2024-04-27T21:23:00.652Z,32.32
54,83,10,2024-04-27T21:23:00.652Z,33.15
55,67,6,2024-04-27T21:23:00.652Z,17.83
56,47,8,2024-04-27T21:23:00.652Z,78.66
57,90,7,2024-04-27T21:23:00.652Z,22.19
58,96,10,2024-04-27T21:23:00.652Z,17.13
59,89,5,2024-04-27T21:23:00.652Z,16.95
60,2,5,2024-04-27T21:23:00.652Z,51.50
